Codigo.INE	Municipio	Tasa.actividad.2001	Lineas.ADSL.2007	Edad.media.2007	Renta.familiar.por.habitante.2003	Crecimiento.vegetativo.2006	Numero.parados.2007	Poblacion.2007	Poblacion.2006	Poblacion.2003	Poblacion.2001
4001	Abla	47,05	44	44,3	Entre 8.300 y 9.300	-7	49	1514	1505	1480	1517
4002	Abrucena	49,42	20	44,4	Entre 8.300 y 9.300	-5	39	1379	1339	1391	1437
4003	Adra	62,1	2200	36	Entre 9.300 y 10.200	131	1159	23742	23545	21704	21810
4004	Albánchez	43,66	38	50,1	..	-7	7	697	660	638	575
4005	Alboloduy	51,5	15	48,3	..	-3	26	728	727	765	800
4006	Albox	52,86	1128	40	Entre 9.300 y 10.200	31	361	11166	11000	10409	9661
4007	Alcolea	55,69	18	44,8	Entre 7.200 y 8.300	-5	38	957	967	1018	906
4008	Alcóntar	45,22	0	49,3	..	-4	12	611	617	627	656
4009	Alcudia de Monteagud	40,12	0	50,9	..	0	0	154	142	152	193
4010	Alhabia	50,79	6	41,3	..	3	31	710	703	676	683
4011	Alhama de Almería	52,28	414	38,7	Entre 9.300 y 10.200	-16	159	3587	3522	3253	3201
4012	Alicún	40,61	3	42,8	..	-3	7	272	258	242	235
4013	Almería	57,89	18118	37,5	Entre 10.200 y 11.300	1168	10877	186651	185309	176727	170994
4014	Almócita	43,59	6	52	..	-3	3	158	156	161	166
4015	Alsodux	33,65	0	51,9	..	-3	2	176	131	109	113
4016	Antas	53,45	416	39,1	Entre 10.200 y 11.300	7	97	3244	3157	3026	2844
4017	Arboleas	41,89	122	48,1	Entre 9.300 y 10.200	2	61	3904	3402	2000	1615
4018	Armuña de Almanzora	40,44	22	45,6	..	3	13	333	321	303	327
4019	Bacares	50,81	0	47,5	..	-5	5	308	290	287	295
4020	Bayárcal	48,49	0	48,6	..	-1	7	273	277	315	329
4021	Bayarque	43,2	8	49,3	..	-1	10	244	237	233	241
4022	Bédar	36,39	57	49,1	..	-4	22	910	824	668	597
4023	Beires	33,82	1	60,8	..	-2	0	128	128	121	138
4024	Benahadux	60,79	648	35,8	Entre 9.300 y 10.200	31	187	3570	3396	2983	2888
4026	Benitagla	26,92	0	57,2	..	1	1	98	66	68	89
4027	Benizalón	39,26	2	48,6	..	-4	10	293	295	305	291
4028	Bentarique	49,25	0	47,3	..	-1	13	284	284	281	308
4029	Berja	57,4	1434	36,8	Entre 9.300 y 10.200	58	772	14508	14450	13670	13331
4030	Canjáyar	57,92	106	47,1	Entre 8.300 y 9.300	-11	46	1544	1561	1582	1656
4031	Cantoria	44,77	192	44,1	Entre 9.300 y 10.200	-6	119	3838	3703	3230	3147
