CodigoINE	Municipio	Consumo de energía eléctrica	Consumo de agua. Invierno	Consumo de agua. Verano	Residuos sólidos urbanos: Destino	Residuos sólidos urbanos: Cantidad	Población
23001	Albanchez de Mágina	2165	298	400	Vertedero controlado	370,49	1474
23002	Alcalá la Real	93991	4882	6342	Compostaje	6774,11	21523
23003	Alcaudete	34985	1537	2633	Compostaje	3680,95	11261
23004	Aldeaquemada	853	123	500	Vertedero controlado	113,53	573
23005	Andújar	139971	8896	10326	Vertedero controlado	11775,5	37903
23006	Arjona	12576	1134	2542	Vertedero controlado	1222,79	5696
23007	Arjonilla	8425	799	1260	Vertedero controlado	881,69	3951
23008	Arquillos	4830	385	480	Vertedero controlado	379,17	1921
23009	Baeza	77039	3041	3965	Vertedero controlado	4838,56	15276
23010	Bailén	89827	3909	4500	Vertedero controlado	5417,04	17672
23011	Baños de la Encina	5990	546	920	Vertedero controlado	540,05	2700
23012	Beas de Segura	16605	631	784	Vertedero controlado	1839,31	8061
23014	Begíjar	6443	634	755	Vertedero controlado	609,24	3161
23015	Bélmez de la Moraleda	3472	402	512	Vertedero controlado	452,2	1964
23016	Benatae	863	160	282	Vertedero controlado	119,84	565
23017	Cabra del Santo Cristo	4548	455	994	Vertedero controlado	514,54	2229
23018	Cambil	5606	572	988	Compostaje	787,29	3063
23019	Campillo de Arenas	4153	424	720	Compostaje	507,42	2119
23020	Canena	7480	550	650	Vertedero controlado	406,62	2117
23021	Carboneros	1511	135	172	Vertedero controlado	140,93	683
23024	Carolina (La)	55865	3825	4690	Vertedero controlado	3355,56	15029
23025	Castellar	11245	753	1400	Vertedero controlado	724,34	3684
23026	Castillo de Locubín	7540	1026	1330	Compostaje	1274	5036
23027	Cazalilla	1281	170	220	Vertedero controlado	174,04	826
23028	Cazorla	14857	1849	3680	Vertedero incontrolado	2014,09	8394
23029	Chiclana de Segura	2263	223	368	Vertedero controlado	332,51	1317
23030	Chilluévar	2649	254	264	Vertedero incontrolado	385,53	1818
23031	Escañuela	1979	183	228	Vertedero controlado	230	948
23032	Espelúy	3388	159	198	Vertedero controlado	159,45	770
23033	Frailes	3100	341	560	Compostaje	422,14	1858
23034	Fuensanta de Martos	5536	582	1100	Compostaje	758,35	3340
23035	Fuerte del Rey	2325	242	415	Compostaje	262,5	1194
23037	Génave	1036	150	210	Vertedero controlado	160,04	674
23038	Guardia de Jaén (La)	9279	374	480	Compostaje	399,43	2029
23039	Guarromán	15343	572	680	Vertedero controlado	569,82	2804
23040	Lahiguera	2764	384	480	Vertedero controlado	429,27	1893
23041	Higuera de Calatrava	1322	103	117	Compostaje	161,42	691
23042	Hinojares	463	100	300	Vertedero incontrolado	121,61	493
23043	Hornos	1618	141	388	Vertedero controlado	157,68	702
23044	Huelma	13051	1210	1597	Compostaje	1322,99	6054
